Date,Total Load (GW),Forecast Total Load (GW)
2018-01-01 00:00:00,24.74,24.94
2018-01-01 00:15:00,24.50,25.37
2018-01-01 00:30:00,24.14,24.96
2018-01-01 00:45:00,23.97,24.55
2018-01-01 01:00:00,23.80,24.14
2018-01-01 01:15:00,23.40,23.73
2018-01-01 01:30:00,22.99,23.32
2018-01-01 01:45:00,22.55,22.92
2018-01-01 02:00:00,22.18,22.53
2018-01-01 02:15:00,21.93,22.17
2018-01-01 02:30:00,21.61,21.84
2018-01-01 02:45:00,21.25,21.55
2018-01-01 03:00:00,21.04,21.31
2018-01-01 03:15:00,20.72,21.09
2018-01-01 03:30:00,20.51,20.89
2018-01-01 03:45:00,20.25,20.71
2018-01-01 04:00:00,20.15,20.56
2018-01-01 04:15:00,20.05,20.44
2018-01-01 04:30:00,19.98,20.35
2018-01-01 04:45:00,19.95,20.32
2018-01-01 05:00:00,20.08,20.33
2018-01-01 05:15:00,20.29,20.38
2018-01-01 05:30:00,20.32,20.48
2018-01-01 05:45:00,20.44,20.61
2018-01-01 06:00:00,20.94,20.78
2018-01-01 06:15:00,21.05,20.97
2018-01-01 06:30:00,21.25,21.16
2018-01-01 06:45:00,21.44,21.34
2018-01-01 07:00:00,21.71,21.49
2018-01-01 07:15:00,21.83,21.58
2018-01-01 07:30:00,21.86,21.57
2018-01-01 07:45:00,21.84,21.46
2018-01-01 08:00:00,21.97,21.31
2018-01-01 08:15:00,22.07,21.21
2018-01-01 08:30:00,22.19,21.25
2018-01-01 08:45:00,22.70,21.48
2018-01-01 09:00:00,22.97,21.86
2018-01-01 09:15:00,23.66,22.33
2018-01-01 09:30:00,24.32,22.81
2018-01-01 09:45:00,25.06,23.25
2018-01-01 10:00:00,25.37,23.67
2018-01-01 10:15:00,25.75,24.10
2018-01-01 10:30:00,26.36,24.56
2018-01-01 10:45:00,26.87,25.07
2018-01-01 11:00:00,27.16,25.60
2018-01-01 11:15:00,27.63,26.09
2018-01-01 11:30:00,28.29,26.48
2018-01-01 11:45:00,28.86,26.75
2018-01-01 12:00:00,28.79,26.87
2018-01-01 12:15:00,28.72,26.87
2018-01-01 12:30:00,28.92,26.76
2018-01-01 12:45:00,28.79,26.54
2018-01-01 13:00:00,28.06,26.25
2018-01-01 13:15:00,27.48,25.94
2018-01-01 13:30:00,26.98,25.65
2018-01-01 13:45:00,26.34,25.40
2018-01-01 14:00:00,26.79,25.21
2018-01-01 14:15:00,26.85,25.09
2018-01-01 14:30:00,26.78,25.04
